印尼华人吴美婷,1523000,226000,未知,希望唱华语歌能提高我的汉语水平。我中文不好，但我会努力回复大家的信息。有的不礼貌或者奇怪的问题我不回答哦，欢迎礼貌的交流沟通。感谢大家对我的支持，真希望早日到中国来看兄dei们～
山东人在印尼,2289000,301000,未知,大家好！我来自山东，目前在印度尼西亚。通过抖音平台分享一些国外的风土人情。我负责分享，你负责欣赏评论。刷到的朋友喜欢就点个关注，给个正能量的评论。不喜欢就轻轻划过，也不要恶语想评，传递正能量。不闲聊。在此非常感谢大家的支持与关注，同时也非常感谢抖音官方搭建这么好的一个平台。也希望我的视频能给大家带来一些开心快乐。谢谢！
印尼小丽,395000,272000,未知,我是印度尼西亚华人2019年定居中国河北，不介绍外国媳妇谢谢很高兴能认识大家，谢谢关注我的每一个人
印尼小胖子Tatan,4568000,491000,未知,表情包ss750207原创剪辑 制作不易 禁止搬运
Coco在印尼,726000,134000,未知,承蒙厚爱 感谢光临可甜可咸可以油腻的老板娘…印尼美食 印尼探店需要做微zheng的第️条置顶作品留言粉丝群️点餐群 不在印尼别申请入群 不会通过的
印尼九哥,403000,298000,未知,东南亚跑了一圈落脚印尼雅加达，主要锆英砂，石英砂！公众qdqd09
馨艺在印尼,1006000,121000,未知,印尼创业，跨境电商，tiktok，lazada，shopee，facebook等等各大平台，努力不一定会成功，但不努力一定不会成功，加油！塑身xuxinyi195520
Tatan 达蛋,1831000,141000,未知,没错你们的表情包男孩 tatan今年7岁啦 ~表情包: ooh-yeah- (备注进群)
东阳市红木家具—祥子,265000,109000,烯喆家具官方账号,承蒙厚爱不盛感激主营国标红木：刺猬紫檀，缅甸花梨，印尼黑酸枝，红酸枝全屋整装定制，全国️上门量房设计，物流运输，入户安装等一站式服务咨询不收费，解答不嫌烦。即使您没找我找家具，也可以交个朋友，感谢抖音让我认识五湖四海的朋友们。个人从事红木行业海外两年，国内十二年，一位聚集咨询师，商家，爱好者一体的红木界小生。
完全因你大码女装,968000,259000,漫步纱服饰（广州）有限公司,每天晚上7点开播
引匿女装,169000,441000,引匿官方账号,每天6点开播！视频同款请进直播间购买！！切勿相信评论区一切非作者评论! ! ！- - - - - - - - - - - - - - - - - - - - - - 每天都上新款福利价，请持续关注！引匿品牌女装工厂直营店！！高性价比，物超所值，值得信赖！！！我们不会主动关注或联系下单客户！请我们的客户在自己的订单里联系在线客服，以防被骗！- - - - - - - - - - - - - - - - - - - - - -
音你心动,2717000,234000,未知,为您分享 伤感情歌经典老歌好听的DJ一首歌一个故事总有一首触动你心弦承蒙厚爱感恩支持
因你更精彩886,1805000,139000,未知,抖音是记录美好生活，这里少些烦恼开开心心每一天。
音你而乐,3864000,551000,未知,全网最好听的音乐所有完整版收藏 私信工众好：骄叶格科技
