巴基斯坦使馆,1651000,916000,巴基斯坦伊斯兰共和国驻华大使馆官方抖音号,此用户没有填写简介
贝儿走遍巴基斯坦,29731000,1929000,未知,山东姑娘在巴基斯坦西北边境省生活九年，每天记录生活点滴。
欢哥在巴基斯坦,19696000,1052000,旅行领域自媒体,巴基斯坦旅行 记录最真实的巴基斯坦合作V：bajisitan01
巴铁,7741000,283000,未知,中国巴基斯坦两只呆萌呆萌的小巴铁小麻豆巴铁爱中国 官方合作v18796429602
有爱,10602000,869000,未知,位于巴基斯坦的第二大城市拉合尔，收不到私信！合作事宜联系v：mcx80888（备注来意）
巴铁小飞·星光村,28026000,2056000,未知,善良就像一道光，照亮别人也温暖自己！在（小飞和星光村的故事）这个号上面直播不接受任何转账
巴基斯坦王小二（百姓珠宝）,7567000,605000,未知,一个奋斗在路上的中国人 感恩相遇，感谢陪伴……
西域黑妞巴基斯坦友谊村,24345000,1810000,未知,北京时间下午五点直播 目前在巴基斯坦曾经我是一个受助者.往后余生尽量做个资助者.生命的多少用时间计算.生命的价值用贡献计算.
巴基斯坦小姐姐,3371000,365000,未知,巴基斯坦美丽的国度日常分享本地风土人情带你了解真实巴基斯坦谢谢关注支持
刘浪巴基斯坦•中华村,5209000,684000,未知,本人四川成都人，现在巴基斯坦。曾去过很多国家 分享不同国家的风土人情 。正在巴基斯坦建村免费给巴铁住不接受任何形式的转账，不帮忙带捐 我自己做一点力所能及的事情 您的关注是我莫大的荣幸
巴基斯坦小杨,16116000,581000,未知,需要什么的可以先下方小黄车每天晚上6点-8点直播
叫我巴铁,23642000,1958000,未知,喜欢就点个关注
暴走兄弟,27491000,4360000,旅行领域自媒体,Let’s GoBro工作联系gobro7（备注品牌）喜欢荒野·热爱生活
巴基斯坦巴铁哥哥,5080000,445000,未知,在中国创业号 batie99
小代在巴基斯坦种水稻,21405000,716000,未知,农业人在巴基斯坦“修理地球”专业毕业谢谢大家的关注和支持您不用来巴基斯坦小代为您分享巴基斯坦风土人情交流: xdzbjst
小李子环球旅（巴基斯坦）,1224000,121000,未知,就会点轻功刚到巴基斯坦等我踏着七色云彩来到你身前不接受任何形式转账在抖音带伙伴们看世界
巴基斯坦沙塔吉,287000,256000,未知,中国小伙在巴基斯坦，和巴基斯坦媳妇的日常生活作+xh-20200518
皮皮川,30675000,1045000,川报观察—四川日报官方账号,打工地方是四川日报，创业项目是川观新闻APP只用一分钟，谈个社会热点，趣说背后知识
巴基斯坦美女,1939000,178000,未知,与时共进的巴基斯坦！请点赞，加关注，转发一下，谢谢！
春天的巴基斯坦,7966000,509000,未知,中巴友谊万岁，看巴基斯坦农村风土人情
孙大圣,829000,232000,未知,环球旅行中，现在在巴基斯坦传给正能量，弘扬中华传统美德点个关注带你看不一样的世界
巴基斯坦种地哥,5188000,270000,未知,小代在巴基斯坦分享风土人情你想了解的巴基斯坦我这里都有关注我不迷路
阿荣青年,28005000,894000,中国共产主义青年团阿荣旗委员会,阿荣团团 关注我 温暖你如有侵权 联系删除
巴铁女孩Sana,12000,274000,未知,我是巴基斯坦女孩Sana，中文叫夏楠，希望中国朋友喜欢我
小鑫闯巴基斯坦,971000,205000,未知,只身一人闯荡巴基斯坦记录底层人在海外打拼的日常海外私信无法使用，无法回复见谅
巴基斯坦缤纷哥,682000,123000,未知,巴基斯坦创业五年分享在巴遇到的各种经历多维度呈现一个真实的巴基斯坦让来巴创业的同胞们尽可能少走弯路
老周在巴基斯坦,1852000,230000,未知,没有计划，说走就走的旅行首站巴基斯坦（2021年8月）
苍哥在巴基斯坦,1558000,177000,未知,再弱的光也能照亮黑暗，再小的爱也能温暖人心携手爱心人士我们一直都在长期资助巴铁帐篷村村民们商务合作：cangtian_678
