朝鲜金达莱,6925000,765000,未知,感谢抖音官方平台13180672193。 15144503836。朝鲜族特产、长白山人参、鸭绿江冰酒、养生保健、特色美食等。相识就是缘分，喜欢的请点击关注吧！
小媛带你了解朝鲜,713000,261000,未知,喜欢的关注我，每天分享！下方商品橱窗购买商品
欣欣（在朝鲜街拍）,537000,131000,未知,需要视频中商品的 ，在下方橱窗里可以购买
央广网,2,12558000,央广网官方账号,讲好中国故事 传播中国声音
小雯儿在朝鲜,1664000,152000,未知,8年朝鲜领队导游一枚、定期更新在朝鲜的一些有趣的事、感谢抖音平台，谢谢大家关注我朝鲜兴趣V：xiaowenr
小央视频,6,20677000,央视网原创短视频,有趣 有料 有态度
朝鲜族夫妻侣行记,1226000,149000,未知,每晚6点直播。（头条，西瓜）:朝鲜族夫妻侣行记2021年第一站（西藏），第二站（青海），第三站（甘肃），第四站（新疆）第五站（云南）2022年第6站（西藏）-----------------------------------------------合作 : jhzw063
朝鲜思蜜哒,2788000,511000,未知,一起走进朝鲜！感恩家人支持、相伴！！每天早上5点！中午12点直播
阿华带你走进朝鲜！,1505000,217000,未知,我是啊华，爱旅行，爱生活，爱分享视频中的宝贝都是自用后的分享需要的可以在视频左下角或者主页橱窗
小喜儿带你看朝鲜,1483000,230000,未知,热爱生活～热爱旅游～从事朝鲜旅游10年滴边境小女子希望更多朋友通过我的抖音视频了解这个神秘国度——朝鲜兴趣朝鲜V：xiaoxier01～不闲聊
八喜先生-朝鲜,1080000,231000,未知,《八喜先生》带你了解一个真实的朝鲜！为您推荐最正宗的丹东特产及朝鲜商品！客服唯：lgz866668感谢抖音平台，感谢大家关注！
朝鲜之声,1297000,201000,未知,感谢抖音官方平台13180672193。 15144503836。朝鲜族特产、长白山人参、鸭绿江冰酒、养生保健、特色美食等。相识就是缘分，喜欢的请点击关注吧！
朝鲜——小崔说高丽（朝海贸易商社）,812000,106000,未知,本人：青岛人2007年闯关东，踏朝鲜，探寻白衣民族。2011年央视国际新闻朝鲜专访，2015年央视走遍中国珲春专访朝鲜产业：水产品加工，劳动密集型产品加工作品集：分享朝鲜经济发展趋势，人文风情揭秘：朝鲜各种忽悠，吹牛逼，有求必揭
牙哥带你看朝鲜,448000,116000,未知,本人经常常驻跟上我的脚步领略朝鲜的美好旅游 油画，特产安宫，手工加工，it动画制作chaoxian7816旅游，特产chaoxianren88，闲聊勿加四日普通游 五日精品，定制点点关注吧
朝鲜之歌,606000,144000,未知,加油，你很棒
金达莱【带你看朝鲜】,2107000,271000,未知,白山黑水鸭绿江畔！深呼吸小城欢迎朋友们来做客！想要了解异国风情，近距离接触的联系我yundiao369
明总』丹东朝鲜攻略,3047000,113000,未知,丹东和对朝旅游，经贸业务，欢迎洽谈合作！1 3 0 5 0 3 1 0 1 3 1 对朝旅游贸易直播间聊
一支惠,1202000,171000,未知,V18643962720 拒绝闲聊每天8点半直播
在朝鲜欣欣安宫,1585000,213000,未知,朝鲜家欣
新华每日电讯,18,38458000,新华社《新华每日电讯》官方账号,每日热点，权威资讯，独到评论，优质暖闻，都在这儿！在这个宝藏账号，看新闻快人一步！
灰锅朝鲜之旅,621000,105000,未知,★★走进神秘的朝鲜民族 记录朝鲜人的真实生活→★★朝鲜旅行记☞
地球记,694000,208000,未知,分享世界地理，科普地理知识
延边恩妮,1037000,177000,珲春市阳光贝贝孕婴食品屋,俺这是东北农村，延边朝鲜族村庄，地处，中，朝，俄，三国交界，分享美食，记录边境生活。
阿里郎秀,8797000,378000,中央广播电视总台阿里郎秀官方账号,此用户没有填写简介
段岳泽,8393000,1344000,未知,橱窗里都是好书
已诚长白山特产商行,2005000,376000,未知,长白山脉地大物博，希望能把家乡的土特产分享给大家，结交天下朋友
韩船长漂流记,98459000,9887000,未知,一人一船环球航海进行中完整版视频:西瓜视频搜索《韩船长》合作V: 3632710 (星图）个人V: caphan8
内蒙古众群进出口商贸有限公司,581000,212000,未知,快乐的工作 幸福的生活
杨杨说历史,3457000,512000,未知,每天坚持更新历史重温经典希望大家多多支持还希望大家多多支持杨杨哦
七言画影,2851000,588000,未知,精彩韩剧每天更新……↓加入粉丝群，第一时间关注更新动态
