柬埔寨小6,5120000,695000,未知,我是你在柬埔寨的眼
柬埔寨姑娘妙妙,8000000,760000,未知,叫妙妙，来自柬埔寨，出生于贡布省。大学毕业(商务英语)，学过一年中文。性格开朗，善良，正能量。没有任何团队！感谢缘分让我们相遇
笛子的吴哥窟日记,52777000,2895000,未知,所有的误解，是因为不够了解—————————————————— 中柬夫妇在柬埔寨吴哥窟的生活日常；高棉美食爱好者餐厅小吃路边摊外卖；社交恐惧，不闲聊，非常抱歉。——————————————————禁止搬运，侵权必究。
柬埔寨,3556000,570000,未知,本人的梦想。走遍天下每个角落。带你们周游，四方。想和我一起走遍。天下的。等你。
柬埔寨资讯,1138000,509000,未知,奇迹王国，柬埔寨
金姐,3512000,528000,未知,本人扣扣584312193 748592525 卫jj748592525 本人黎金金1988 年 33岁 四川德阳人现在居住重庆璧山 离异 有孩子 目前有男朋友 本人诚信交友 无套路本人不会主动加你 我不会索要红包 也没有任何群 请不要上当受骗本人仅四个抖号 两个火山抖音 两个抖音号 两个抖音号粉丝是35w 24w 两个抖音火山号 粉丝是41w 59w 其他号均是骗子。
柬埔寨太子庄园,32000,102000,未知,金边首个城市精品文旅度假区，是您赴柬的理想生态文旅游憩目的地。
五嫂吖,6459000,393000,未知,每晚21点直播橱窗里有很多好吃的，好用的 美美的 东西哟美缇娜果饮股东出门靠大哥，在家靠自己
冉宝,2478000,251000,未知,ss7榜9女战神v：gujiuranya（不备注来意不通过）
潘人美,11546000,701000,未知,即便有再多人爱我 我也会寂寞致死
吴洋,7786000,473000,未知,命运的交响曲不会因为半个音符的走音而影响它的主旋律加油
哇塞,6926000,456000,未知,细看方知美丽细品才解可爱
小争的柬埔寨故事,1820000,186000,未知,风云际会英雄地，卧虎藏龙金三角东南亚没有雪，柬埔寨没有爱情这里不相信眼泪，只相信汗水你可以选择放弃，但不能放弃选择别让这个国家留住了你的青春，却留不住你！非常感谢所有抖音默默支持我的朋友让我在柬埔寨的创业路上不再孤单更加努力给大家分享柬埔寨的故事湖南衡阳人 就读过EMBA 目前在柬埔寨从事新闻媒体工作如果有事以微RCEP001不闲聊！不介绍工作！
舟山政法,18119000,654000,舟山市委政法委官方抖音账号,庙堂江湖 共话平安
娱圈鉴定官,4269000,475000,未知,感谢抖音平台感谢各位点赞收藏评论专注娱乐解说我会一直进步的— — — — — — — — — — — — — —— — — 官方合作+alqe159753
熊伟,1746000,206000,演员,熊伟，1968年1月1日出生于北京，汉族，1983年饰演《哥们儿发财记》中金满山 ，2005年饰演情景喜剧《地下交通站》中黄金标。
心随你动,15535000,985000,未知,懂的珍惜才是幸福的开始………………
五妹,8296000,480000,未知,谢谢你的关注
兵哥哥,2696000,564000,未知,欢迎来到兵哥哥好物商城，兵哥哥只做优质产品，正规品牌，严格品控，质量无忧，专业客服团队，让您买的放心，用的舒心。下单后48小时发货，点击进入橱窗即可挑选
田雨,535000,110000,未知,此用户没有填写简介
周Sir,13437000,407000,未知,一万年太久 只争朝夕
Along阿龙,23796000,1194000,摄影师,承蒙厚爱 感谢喜欢 加贵州摄影群请私信全国景区流星雨直播/专业级户外直播服务素材授权/拍摄/直播/景区/文旅/线下VAlongc1 注明来意
越南小天,2405000,573000,未知,我来自越南我叫小天，目前在中国，我是一个可爱的外国女孩……灯牌七级加V。每天早上6:30开播下午5:00
阿龙,2093000,602000,未知,用爱心做事业用感恩的心做人
阿龙（神农团）,8786000,1091000,未知,五十六个民族一支花，五十六个兄弟姐妹是一家，新手来到抖音，谢谢大家支持
周先生,1229000,235000,未知,一个独居的单身男人 爱生活 爱旅游
高歌猛进,9871000,751000,未知,世界各国铽种兵 喜欢我的作品先关注下吧毕竟我不是网红 下次可能就刷不到我了本人呆在柬埔寨严格遵守当地法律法规励志传递正能量永远忠于祖国忠于党境外军事迷系列私信太多基本不看不回V：Gaojin688888888 （备注来意）感恩抖音 感恩评论 感恩关注柬埔寨王国江西蔏会（同乡会）X港分会总会长柬埔寨西哈努克商协会联合总会执行会长柬埔寨华人慈繕互助协会常務理事会高级顾问
败家财经,4027000,519000,浙江电视台主持人,：say hi：咱们吃高端瓜：没有小号！没有助理号！发现举报！举报！：不是专家，分享有价值的新闻和观点。
凤凰网,7858000,3209000,凤凰网官方抖音号,让任何一个幼儿园小朋友都能看懂和爱上国际新闻
二猪,2541000,112000,未知,祝你也祝我
