缅甸丹丹,1772000,380000,未知,感谢各位关注我的中国朋友们 本人来自缅甸喜欢中国也喜欢交中国朋友多多支持V 18788200037
缅甸之音,12400000,765000,德宏团结报胞波缅文报,中国唯一一份缅文报官方抖音中缅政治、经济、文化消息权威发布V：yanglinews（+请注明来意）
缅甸现场,74000,343000,瑞丽市姐告贝玉珠宝柜,缅甸现场 相信品牌的力量1.七天无理由 美镯无忧购2.矿区直供 海量货源3.保证真品 一物一证4.官方认证 品牌直播5.源头收货 没有中间商6.严格品控 层层把关7.天然特性 如实描述8.免费鉴宝 粉丝福利9.顺丰空运速递10.一对一专属客服
阿兰在缅甸,2505000,287000,未知,本人在抖音仅此一个号。如果被别人私信和加你们，你们千万不要相信如果被骗了，不要来找我，谢谢，再次提醒大家。
缅甸之旅,83000,297000,瑞丽市姐告韦莎珠宝柜,【1】产品优势：签约优质货主，原产地起货直达，为您呈现海量优质美镯【2】专业主播：严格品控，专业甄选，品质有保障；职业鉴价，为您寻翡掌眼【3】销售品控：多重环节严格筛除纹裂手镯，禁售带裂手镯【4】专业客服：专属售后客服全程为您服务【5】无忧购物：一物一证省检保真，七天无理由放心选购【6】顺丰直达：全额保价，闪电运送，安全抵达
缅甸华侨小玲,1600000,266000,未知,我是来自缅甸的华侨。喜欢我的
李赛高（佤邦）,15072000,2025000,未知,李赛高（缅甸佤邦佤族）不定时更新，感谢你们的支持。 ——承蒙大家厚爱——不要连续赞作品！！看见拉黑！
缅甸吖妹思齐,18509000,1211000,未知,本人的所有言论只代表吖妹个人！我是缅甸佤邦人，现嫁到关公故里山西运城，曾经在佤邦南邓电视台工作七年。中国是我的祖国，我热爱中国这块热土，我希望大家能够看到一个满腔热血，有血有肉，热爱祖国，对生活充满希望的吖妹。命运不容我做主，可我不会向命运低头！
缅甸果敢华侨星儿,2477000,217000,未知,缅甸果敢的华人汉族，没有什么文化，没见过什么大世面。上了三年小学，，上班族一个。不善言辞。拍视频介绍果敢的风土人情纯属爱好。只想简简单单的生活，让更多朋友了解我们果敢喜欢的朋友多多支持，不喜欢的勿喷。人一辈子都是在学习。活到老学到老
缅甸日记,77000,486000,瑞丽市姐告珮玥珠宝柜,每天上午7:00-凌晨4:30现场收货，无忧购美镯！1、货源优势：【海量货源，矿区直供】2、产品优势：【保证真品，一物一证】3、主播优势：【专业主播，持证上岗】4、品牌优势：【瑞丽基地优秀商家】5、购物保障：【严格品控，层层把关】6、物流无忧：【顺丰直送，全额保价】7、售后无忧：【专属客服，一对一服务】
缅甸梦,1774000,360000,未知,此用户没有填写简介
缅甸大美,286000,125000,未知,简单直接，温柔可爱，你的大美宝贝
缅甸佳佳,1300000,238000,未知,承蒙厚爱谢谢你们
缅甸小贝贝,3127000,401000,未知,我是缅甸华侨小贝贝。喜欢中国，想和大家交朋友 。谢谢您们这么优秀还关注了我，爱你们哟！私信太多不一一回复，但评论我都会看。
缅甸品控基地发货 一物一证,107000,567000,未知,中缅边境源头翡翠手镯️实力工厂货源 现场盘货抖音BIC基地发货 一物一证书 支持复检专业售后团队 专注服务+品质无其他小号 任何主动私信都是骗子 谨防上当
缅甸小黑妹,2226000,341000,未知,您好我叫梅梅缅甸华人，我会每天更新缅甸异国风情，想了解缅甸的请关注我
缅甸果敢小菇凉,637000,201000,未知,喜欢我吗
缅甸许姐砍价王,556000,532000,未知,点击头像guankan直播间中高手镯专场优势一：中缅边境源头直供，现场怼货优势二：基地BIC，一镯一证，全国复检优势三：金牌主播 气势如虹优势四：万条美镯 精选 每日上新优势五：每日品控复检
缅甸 华侨,548000,149000,未知,V f f r s 177人生，从来就没有百分百的完美，生命于我们，只不过是一个过程，完美也好，有一点缺憾也罢，这一路走来，重要的是我们欣赏到了沿途的风景！
缅甸寻宝,47000,214000,瑞丽市缕妙珠宝店,直播时间：可可：08:30-12:30 小欣：12:30-16:30静静：16:30-20:30 程程：20:30-01:00我们的优势：一、【工厂直供 一手货源】二、【专业主播 严格品控】三、【七天鉴赏 购买无忧】四、【品质保障 全国复检】五、【顺丰发货 安全便捷】
缅甸 孝琴,2527000,246000,未知,大家好我是缅甸孝琴喜欢缅甸红木摆件玉石的朋友们可以加qnfc666感谢大家一直以来的支持和信任用专业的眼光为大家带来更多更好的产品
平安渝北,21004000,438000,重庆市公安局渝北区分局,最惨官抖了解一下
缅甸美儿呀。只有这一个号哦,1099000,295000,未知,来自缅甸的一枚小姐姐。谢谢你长辣么好看还关注我。微信，
