闯非洲小胖子,1,5337000,未知,在非洲莫桑比克工作（回国休假中）更新库存商务合作：17367083905 个人专用：DCS761392585(互相交流V）个人专用2:DCC761392585（互相交流V）
雷舌电影,7439000,915000,未知,想看好故事关注雷舌电影
环寰地球,2694000,327000,未知,带你了解不一样的地理知识看不全是审核不过完整版可以关注西瓜视频：环寰地球每日更新
大国时代,3555000,442000,未知,分享2020个大国较量的传奇故事商务V：m718333
儒雅苏生,8149000,1606000,未知,每日分享奇闻趣事18：00左右准时更新关注我，不跑偏
海外网,1,16221000,海外网官方账号,中国形象传播平台 全球华人网上家园
世界之最,33621000,2400000,科普自媒体,商务 | 带货| 私我世界之大，无奇不有！盘点那些你不知道的世界之最
小比克,34631000,3016000,优质视频创作者,商务合作：youliang2002（非本人） 粉丝v：beek666888我的粉丝Q群827655561期待你的关注和喜欢。
旺达首饰,629000,1421000,右手等待官方账号,【旺达首饰】联合【右手等待】品牌创始人-形象大使模特【小洁】好物甄选官------------------------------------------------凭借优越的品质---赢得了广大粉丝与客户的支持与信赖右手等待-百万粉丝的选择-值得您的信赖在抖音创立一个【你一定买得起】的钻戒品牌直播时间：早上08点-零晨02点
陈比克rr（国服第一镜）,2613000,228000,未知,国服榜首镜国服镜、国服蒙恬、国服马超、国服公孙离、国服蒙犽、国服小乔、国服孙悟空、国服嬴政、国服韩信工作室v：c1883821水友群：1058481627
比克大魔王,25000,2392000,未知,分享实用生活小妙招，让我们一起发现生活中的美
遥华珠宝莫桑钻18k金铂金钻戒,169000,112000,未知,深耕莫桑十余年，给你最具性价比的莫桑联系tbh3787
海博TV,3,8213000,福建省广播影视集团海博TV客户端官方账号,福建省广播影视集团融媒体资讯中心
国录,303000,278000,未知,欢迎关注国录。
吴叔放影室,7113000,1245000,未知,世界之大，无奇不有，关注老吴，带你去看不一样的世界，记得看完给个赞，你的点赞，是我创作的动力。谢谢。
伊洛珠宝商行,110000,378000,伊洛珠宝商行官方账号,2022年回归生活，记录生活的点点滴滴，喜欢作品的老铁可以私信我哟。
NaNa珠宝,1249000,418000,东海县千暖珠宝商行,在本店卖了1年多价格比较贵的莫桑石产品 。一直是销售裸石送银托 ，先体验后定做 ，让消费者看见质量再买单 。如今规则是银托不能送 ，裸石不让发 ，这不符合我的销售原则，我也改不了自己，所以直播就停了，账号姑且留着，消息回复不及时，请见谅。
泸州莫桑,907000,132000,未知,四川泸州人分享家乡品质特产点击主页商品栏即可购买
莫桑谈心,868000,314000,未知,如果你感到生活窘迫夫妻之间感情变淡来我直播间舒舒心，解解惑
